SiteID,Japan.Introduced,Continent,Subregion,PopulationID,Latitude,Longitude,Salinity.ppt,JanSST,Substrate,Substrate2,Collection.date,Collection.waterTemp.degC,nBreakage,nArchitecture
akk,Japan,Japan,Hokkaido,Chikarakotan,43.02513,144.879657,31,2.9748847,mudflat,mudflatmix,6/2/15,22.19,17,7
bob,Introduced,NorthAmericaWest,California,BodegaBay,38.31777,-123.055447,34,11.3108753,mudflat,mudflat,8/14/15,14.93,23,10
bom,Introduced,Europe,UnitedKingdom,Bournemouth,50.4339,1.46025,15,9.6,mudflat,mudflat,NA,NA,19,10
dhd,Introduced,Europe,Germany,Heikendorf,54.36382,10.193674,15,4.3317971,rockyshore,rockyshore,8/31/15,21.38,16,11
eld,Introduced,NorthAmericaWest,SalishSea,EldsInlet,47.08489,-122.978715,22,7.7,mudflat,mudflat,9/1/15,18.71,20,10
elk,Introduced,NorthAmericaWest,California,ElkhornSlough,36.5034,-121.3513,38,12.9030202,mudflat,mudflatmix,NA,NA,0,10
far,Introduced,Europe,Iberia,Faro,37.02782,-8.022425,38,16.5901839,mudflat,mudflat,7/6/15,24.21,9,11
fdm,Introduced,Europe,France,Dinan,48.5146,-1.9698,8,9.9657094,mudflat,mudflatmix,8/12/15,35.58,14,12
fjn,Introduced,NorthAmericaEast,SoutheastUS,FortJohnson,32.75115,-79.901191,29,14.135073,mudflat,mudflat,7/10/15,31.72,19,8
flf,Introduced,Europe,France,LeFaou,48.296,-4.182105,0,10.9952851,mudflat,mudflat,NA,NA,11,10
fpa,Introduced,Europe,France,PontLAbbe,47.86695,-4.215873,5,10.9866328,mudflat,mudflat,9/9/15,25.93,14,10
ftr,Japan,Japan,honshu,Futtsu,35.32177,139.834452,24,15.7075534,mudflat,mudflat,9/14/15,19.19,16,10
fut,Japan,Japan,Hokkaido,Futatsuiwa,44.04932,144.2579,35,0.4375115,rockyshore,rockyshore,9/11/15,20.43,21,10
gaf,Introduced,Europe,Iberia,Aveiro,40.63781,-8.665855,32,14.0454249,mudflat,mudflat,9/29/15,25.71,15,10
gal,Introduced,Europe,Iberia,ACoruna,43.32829,-8.37892,35,13.3042739,mudflat,mudflat,9/8/15,18.4,18,10
grb,Introduced,NorthAmericaEast,northeastUS,GreatBayNH,43.09208,-70.864714,30,5.032857,mudflat,mudflat,9/13/15,18.39,19,10
hay,Japan,Japan,honshu,HayaseRiver,35.61533,135.906486,16,13.2390642,rockyshore,rockyshore,6/4/15,22.62,20,10
hei,Introduced,Europe,Germany,Heiligenhafen,54.38023,10.983212,15,4.2134623,mudflat,mudflat,8/31/15,19.33,19,10
hik,Japan,Japan,Kyushu,Hikayama,31.7321,130.671644,10,18.1232254,mudflat,mudflatmix,9/27/15,20.21,13,6
kae,Japan,Japan,Kyushu,Kaeda,31.81721,131.447808,9,18.9830642,mudflat,mudflatmix,6/11/15,21.32,19,10
lhp,Introduced,NorthAmericaEast,northeastUS,LighthousePointCT,41.24883,-72.904226,30,4.3903518,rockyshore,rockyshore,5/23/15,22.72,16,11
ltc,Introduced,NorthAmericaEast,virginia,LittleTomsCove,37.888,-75.3352,33,6.8529031,mudflat,mudflat,NA,NA,0,10
man,Introduced,Europe,Denmark,Mando,55.2883,8.539,28,4.7148679,mudflat,mudflat,NA,NA,0,10
mng,Japan,Japan,honshu,Mangokuura,38.41819,141.413173,14,10.7906664,mudflat,mudflatmix,5/17/15,27.08,27,9
mou,Japan,Japan,honshu,MouneBay,38.90119,141.622668,23,11.024094,mudflat,mudflatmix,7/16/15,17.7,15,10
nag,Japan,Japan,Honshu,Choshi,35.701,140.863333,29,16.9816609,rockyshore,rockyshore,6/17/15,28.76,21,10
nor,Introduced,Europe,Germany,Nordstrand,54.48631,8.812739,27,5.0403518,mudflat,mudflatmix,8/30/15,20.45,20,7
nyc,Introduced,NorthAmericaEast,northeastUS,CrabMeadowNY,40.92862,-73.32685,27,4.8109924,rockyshore,rockyshore,5/25/15,35.13,20,10
osh,Introduced,NorthAmericaEast,virginia,Hillcrest,37.28402,-75.409702,32,7.7507011,mudflat,mudflat,7/16/15,25.68,19,9
par,Introduced,NorthAmericaEast,SoutheastUS,ElliotsBeach,32.31757,-80.703792,34,13.7172255,mudflat,mudflat,9/2/15,18.27,20,10
pmo,Introduced,NorthAmericaWest,BC,PortMoody,49.28,-122.85169,22,7.1484945,mudflat,mudflat,8/4/15,26.1,19,10
pol,Introduced,Europe,France,StPoldeLeon,48.67578,-3.971613,2,11.2797945,mudflat,mudflat,9/11/15,16.76,13,10
ptw,Introduced,NorthAmericaWest,SalishSea,PtWilson,47.2105,-122.842044,22,7.7,mudflat,mudflat,7/17/15,27.64,19,10
red,Introduced,NorthAmericaEast,virginia,WillisWharf,37.45585,-75.818625,33,6.0649524,mudflat,mudflat,8/3/15,24.5,20,10
ris,Introduced,NorthAmericaEast,northeastUS,SandyPointRI,41.66179,-71.409895,32,5.2039999,rockyshore,rockyshore,7/17/15,28.76,19,10
shb,Japan,Japan,kyushu,Shimabira,31.70682,130.271885,4,18.1271609,mudflat,mudflatmix,5/15/15,25.42,15,10
shk,Japan,Japan,kyushu,Shikanoshima,33.66313,130.2962,32,15.4946502,rockyshore,rockyshore,5/18/15,19.76,8,10
shr,Japan,Japan,Hokkaido,Shinori,41.76486,140.818178,35,7.5858386,rockyshore,rockyshore,5/31/15,35,12,7
sou,Japan,Japan,honshu,Soukanzan,38.35284,141.059694,33,10.7037417,mudflat,mudflatmix,6/13/15,NA,19,10
tmb,Introduced,NorthAmericaWest,california,TomalesBay,38.17965,-122.909344,36,11.4904216,mudflat,mudflatmix,8/13/15,17.95,20,10
tyb,Introduced,NorthAmericaEast,SoutheastUS,TybeeSavannah,31.95083,-80.984364,28,14.0799766,mudflat,mudflat,7/9/15,31,19,10
usu,Japan,Japan,Hokkaido,Usu,42.5155,140.78618,29,6.2020526,mudflat,mudflatmix,6/8/15,19.57,17,5
wac,Introduced,NorthAmericaEast,virginia,UpperHaulOver,37.61946,-75.669593,35,6.0989999,mudflat,mudflat,8/2/15,32.98,17,10
waj,Japan,Japan,kyushu,Wajiro,33.67356,130.426959,32,15.4946502,rockyshore,rockyshore,5/18/15,20.33,7,8